1425 problems to do (model=qwen2.5-coder:7b):
#88	2000	B. RReeppeettiittiioonn
#89	1700	A. Interval Mod
#101	2900	G. Rational Bubble Sort
#102	2400	F. Learning Binary Search
#103	2500	E. Minimum Path Cover
#108	800	A. Antimedian Deletion
#109	2700	F. A Simple Problem
#110	2700	E. Binary Strings are Simple?
#111	2100	D. A Simple RBS Problem
#112	2100	C2. A Simple GCD Problem (Hard Version)
#113	1200	C1. A Simple GCD Problem (Easy Version)
#114	900	B. Simply Sitting on Chairs
#115	800	A. A Simple Sequence
#116	2700	F. Dynamic Values And Maximum Sum
#117	2200	E. A Trivial String Problem
#118	1800	D. Ghostfires
#119	1400	C. Find the Zero
#120	900	B. Array
#121	800	A. Flip Flops
#122	2700	E. Counting Cute Arrays
#123	2200	D2. Tree Orientation (Hard Version)
#124	1800	D1. Tree Orientation (Easy Version)
#125	1300	C. Stamina and Tasks
#126	1100	B. Cyclists
#127	800	A. Bingo Candies
#131	3300	G. Toothless
#132	2900	F. Hanabi
#133	2400	E2. N-MEX (Counting Version)
#134	2100	E1. N-MEX (Constructive Version)
#135	2200	D. Boxed Like a Fish
#136	1600	C. Where's My Water?
#137	1600	B. One Night At Freddy's
#138	800	A. 1-1
#139	2900	M. Deformed Balance
#140	3500	L. Onion
#141	1300	K. Time Display Stickers
#142	1700	J. Worldwide Playlist
#143	2900	I. Growth Factor
#144	1800	H. Reflect Sort
#145	3100	G. Extra Transition
#146	2400	F. Minesweeper String
#147	2500	E. Parallel Sums
#148	2600	D. Christmas Tree Un-decoration
#149	2200	C. Upside Down Dijkstra
#150	2500	B. Subtree Removal Game
#201	3000	G. Simons and Diophantus Equation
#203	2400	F. Simons and Reconstructing His Roads
#204	2100	E. Simons and Dividing the Rhythm
#205	1700	D. Simons and Beating Peaks
#206	1500	C. Simons and Posting Blogs
#207	800	B. Simons and Cakes for Success
#208	800	A. Simons and Making It Beautiful
#209	2700	G. Grid Path
#210	2200	F. Sum of Fractions
#211	1800	E. Sum of Digits (and Again)
